year,position,artist,song,score,us,uk,de,fr,ca,au
"2000","1","Faith Hill","Breathe","24030.051","2","33","-","-","-","23"
"2000","2","Joe Thomas","I Wanna Know","21516.777","4","-","-","61","-","34"
"2000","3","Santana & The Product G","Maria Maria","20941.780","1","6","-","1","-","49"
"2000","4","Vertical Horizon","Everything You Want","20402.965","1","42","-","-","-","24"
"2000","5","Toni Braxton","He Wasn't Man Enough","20068.614","2","5","-","14","-","5"
"2000","6","Rob Thomas & Santana","Smooth","19876.371","1","3","-","15","-","5"
"2000","7","Aaliyah","Try Again","19670.508","1","5","-","26","-","8"
"2000","8","Matchbox Twenty","Bent","18997.978","1","-","-","-","1","19"
"2000","9","Lonestar","Amazed","18977.858","1","21","-","-","-","19"
"2000","10","Destiny's Child","Say My Name","18817.660","1","3","-","10","-","1"
"2000","11","Three Doors Down","Kryptonite","18238.908","3","-","-","-","-","47"
"2000","12","Madonna","Music","17642.575","1","1","-","8","1","1"
"2000","13","Destiny's Child","Jumpin' Jumpin'","17572.728","3","5","-","41","-","2"
"2000","14","Sisqo","Thong Song","17377.292","3","3","-","15","-","2"
"2000","15","Creed","Higher","17082.223","7","47","-","-","-","-"
"2000","16","Pink","There You Go","16164.884","7","6","-","-","-","2"
"2000","17","Marc Anthony","You Sang To Me","14909.762","2","-","-","-","-","-"
"2000","18","Sonique","It Feels So Good","14851.483","8","1","-","8","1","21"
"2000","19","Creed","With Arms Wide Open","14754.656","1","-","-","-","-","-"
"2000","20","Janet Jackson","Doesn't Really Matter","14575.158","1","5","-","40","-","28"
"2000","21","Nelly","(Hot S**t) Country Grammar","14574.422","7","7","-","-","-","38"
"2000","22","Macy Gray","I Try","14506.283","5","13","-","29","-","1"
"2000","23","Savage Garden","I Knew I Loved You","14439.996","1","56","-","43","1","21"
"2000","24","N Sync","Bye, Bye, Bye","14168.663","4","3","-","46","1","1"
"2000","25","N Sync","It's Gonna Be Me","13777.092","1","9","-","-","1","11"
"2000","26","Sisqo","Incomplete","13620.996","1","13","-","-","-","-"
"2000","27","Christina Aguilera","What A Girl Wants","13536.630","1","3","-","11","1","5"
"2000","28","Montell Jordan","Get It On Tonite","12749.808","4","15","-","28","-","-"
"2000","29","The Backstreet Boys","Show Me The Meaning Of Being Lonely","12730.529","6","3","-","-","1","19"
"2000","30","Faith Hill","The Way You Love Me","12648.231","7","-","-","-","-","-"
"2000","31","Ruff Endz","No More","12405.965","5","11","-","-","-","-"
"2000","32","Christina Aguilera","Come On Over Baby (All I Want Is You)","12313.088","1","8","-","33","-","9"
"2000","33","Eminem","The Real Slim Shady","12263.788","4","1","-","6","-","11"
"2000","34","Enrique Iglesias","Be With You","12203.471","1","-","-","43","-","36"
"2000","35","BBMak","Back Here","12118.763","13","-","-","-","-","47"
"2000","36","Celine Dion","That's The Way It Is","11934.933","6","20","-","10","-","14"
"2000","37","Nine Days","Absolutely (Story Of A Girl)","11901.115","6","-","-","-","-","31"
"2000","38","Sting & Cheb Mami","Desert Rose","11833.335","17","15","-","6","-","-"
"2000","39","Britney Spears","Oops!... I Did It Again","11803.280","9","1","-","4","1","1"
"2000","40","Pink","Most Girls","11361.064","4","5","-","-","-","1"
"2000","41","Marc Anthony","I Need To Know","10592.809","6","-","-","-","-","20"
"2000","42","Destiny's Child","Independent Woman","10405.885","1","1","-","26","-","3"
"2000","43","Brian McKnight","Back At One","10218.844","2","-","-","-","-","24"
"2000","44","Christina Aguilera","I Turn To You","10168.708","3","19","-","-","-","40"
"2000","45","blink-182","All The Small Things","9928.375","6","2","-","-","-","8"
"2000","46","Samantha Mumba","Gotta Tell You","9769.394","4","2","-","13","-","3"
"2000","47","Mya","Case Of The Ex (Whatcha Gonna Do)","9679.084","2","-","-","-","-","-"
"2000","48","Bon Jovi","It's My Life","9592.075","33","3","-","14","-","5"
"2000","49","LeAnn Rimes","I Need You","9380.273","11","-","-","-","-","-"
"2000","50","Blaque","Bring It All To Me","9343.446","5","-","-","-","-","-"
"2000","51","Mariah Carey","Thank God I Found You","9160.348","1","10","-","28","-","27"
"2000","52","Jagged Edge","Let's Get Married","9118.588","11","-","-","-","-","-"
"2000","53","Third Eye Blind","Never Let You Go","9020.139","14","-","-","-","1","-"
"2000","54","Next","Wifey","8954.757","7","19","-","-","-","-"
"2000","55","Missy 'Misdemeanor' Elliott, NAS & Eve","Hot Boyz","8696.504","5","18","-","78","-","-"
"2000","56","Mary Mary","Shackles (Praise You)","8604.862","28","5","-","13","-","2"
"2000","57","Eiffel 65","Blue (Da Ba Dee)","8523.046","6","28","-","10","1","1"
"2000","58","Red Hot Chili Peppers","Otherside","8322.810","14","33","-","-","-","31"
"2000","59","98 Degrees","Give Me Just One Night","8294.998","2","61","-","-","-","21"
"2000","60","Everclear","Wonderful","8261.942","11","36","-","-","-","38"
"2000","61","Kandi","Don't Think I'm Not","8126.450","24","9","-","-","-","-"
"2000","62","Mystikal","Shake Ya Ass","8046.166","13","30","-","-","-","-"
"2000","63","SoulDecision & Thrust","Faded","7951.990","22","-","-","-","-","-"
"2000","64","Debelah Morgan","Dance With Me","7839.287","10","-","-","-","-","19"
"2000","65","Son By Four","Purest Of Pain (A Puro Dolor)","7809.399","26","-","-","-","-","-"
"2000","66","Erykah Badu","Bag Lady","7668.147","6","-","-","-","-","-"
"2000","67","Jay-Z & UGK","Big Pimpin'","7637.057","18","29","-","-","-","-"
"2000","68","Dr Dre, Eminem & Skylar Grey","Forgot About Dre","7609.260","25","7","-","-","-","-"
"2000","69","N Sync","This I Promise You","7426.658","5","21","-","-","-","42"
"2000","70","Dr Dre & Snoop Dogg","The Next Episode","7338.145","23","-","-","22","-","-"
"2000","71","Ricky Martin","She Bangs","7230.197","12","3","-","36","-","3"
"2000","72","Avant","Separated","7207.985","23","-","-","-","-","-"
"2000","73","Baha Men","Who Let The Dogs Out?","7184.241","40","2","-","-","-","1"
"2000","74","Smash Mouth","Then The Morning Comes","7105.338","11","-","-","-","-","-"
