State,Avocado Revenue,Avocado Volume in Millions,Tomato Revenue,Tomato Volume in Millions,Squash Revenue,Squash Volume in Millions
Alabama,69929429.94246908,45.0,96503276.12935023,91.0,17438497.21482104,4.0
Alaska,65710983.79773547,44.0,73062244.05933167,69.0,8796130.594965568,2.0
Arizona,28321326.495824754,22.0,49860866.822814845,66.0,6189163.537569091,2.0
Arkansas,47194525.29925747,32.0,49365694.707424924,65.0,13299939.811431356,5.0
California,23972678.02089827,12.0,57462015.06086702,89.0,12013389.561165709,4.0
Colorado,79780335.06141315,41.0,99523117.59616846,100.0,20683485.212931786,5.0
Connecticut,45823030.9021554,30.0,100886709.4168196,82.0,18654299.759552274,5.0
Delaware,48173475.54080964,35.0,58250155.47930352,58.0,6891355.5926401755,2.0
District of Columbia,35982557.042966686,19.0,39657455.768538475,43.0,13470299.934346655,5.0
Florida,45775544.05270437,30.0,45435529.63775461,51.0,11241759.743869549,3.0
Georgia,36864640.02414335,24.0,46732725.20462872,80.0,8623345.829872156,3.0
Hawaii,17293258.202273242,12.0,69912651.29353096,63.0,3289597.2875092356,1.0
Idaho,26831769.04293697,20.0,64778720.294203,84.0,12400888.666837804,4.0
Illinois,70455096.52218817,48.0,47746484.62299544,66.0,11327174.69512593,3.0
Indiana,25193217.44107551,15.0,39567726.95665453,47.0,7468114.923305933,2.0
Iowa,59041815.26824533,34.0,89951771.91338384,75.0,11512510.847092904,4.0
Kansas,28080131.847083423,22.0,108239683.84742986,87.0,11728220.666882327,3.0
Kentucky,15006207.313156497,10.0,79607121.96786568,96.0,13181418.507402597,5.0
Louisiana,52727329.76135383,28.0,42234803.710063115,42.0,8903508.561799588,3.0
Maine,19613760.347678993,16.0,45207836.108172156,57.0,6113088.674398644,2.0
Montana,53227826.032628246,35.0,45016659.66506188,77.0,9019583.837371627,3.0
Nebraska,19230395.357978467,11.0,60688153.41362954,82.0,21539373.217658132,5.0
Nevada,66273109.99511951,48.0,97512293.82134074,96.0,21657693.54057595,5.0
New Hampshire,29331957.83949489,18.0,56234382.44439113,86.0,2828401.100415043,1.0
New Jersey,23486093.3646669,19.0,33089090.462079227,44.0,5002519.330567148,2.0
New Mexico,75251139.3017503,50.0,33241100.5829629,40.0,8101400.604273513,2.0
New York,25690800.96666966,14.0,72865203.71282257,81.0,12106785.67836713,3.0
North Carolina,63461223.43267998,43.0,52295217.36371707,43.0,2696662.07372609,1.0
North Dakota,14452506.180384584,10.0,72051626.6544503,100.0,10479340.624918172,3.0
Ohio,52791257.59339483,28.0,108216326.95270205,92.0,13739292.750950757,4.0
Oklahoma,30872326.901048854,20.0,110602028.47752306,99.0,3490125.636143925,1.0
Oregon,28586322.143874135,22.0,86273355.25883085,74.0,9231241.027682915,3.0
Maryland,57837846.63479952,47.0,32482884.499582026,57.0,10146135.993563693,3.0
Massachusetts,75612406.04926077,44.0,52419847.16014886,43.0,12138954.445446316,4.0
Michigan,17255388.089150112,10.0,27193844.10911287,40.0,3306017.2487447923,1.0
Minnesota,66379735.1618521,48.0,83268201.99138501,86.0,12804374.708222682,3.0
Mississippi,18032308.711192034,13.0,28622575.49858642,47.0,17588990.823298298,5.0
Missouri,65698264.47037277,49.0,85292297.7054021,69.0,8649662.593540058,3.0
Pennsylvania,68652604.15613657,38.0,46398260.113347,63.0,5512244.1544630295,2.0
Rhode Island,50522317.245440856,40.0,64211974.43754679,84.0,2807285.273397498,1.0
South Carolina,43813627.700056225,35.0,89732599.877304,98.0,12059346.938052244,4.0
South Dakota,49724829.84950473,27.0,29387116.97869737,46.0,12872209.107845496,3.0
Tennessee,57534573.75309182,38.0,67316799.87549205,60.0,17323800.744989634,5.0
Texas,45191000.250929445,32.0,37259271.01957968,62.0,6462322.78944132,2.0
Utah,63634609.38853133,44.0,53842268.305736504,71.0,3858774.16716151,1.0
Vermont,39800004.61000567,25.0,22043175.15667865,41.0,3708333.124978307,1.0
Virginia,73937021.18882348,46.0,71179959.28361695,64.0,13369213.930831041,5.0
Washington,50325438.05831027,30.0,35128905.465970635,64.0,3312886.2599787056,1.0
West Virginia,57616217.00685421,47.0,57330903.977654055,90.0,10389035.979597976,3.0
Wisconsin,79887398.31234443,44.0,67274832.24819879,91.0,3391893.1017602705,1.0
Wyoming,74679771.56325659,46.0,49899157.629171625,75.0,19023536.949810635,5.0
