country,price,points,count
Argentina,24.510117145899894,86.71026315789474,3543
Armenia,14.5,87.5,2
Australia,35.43766346992153,88.58050665521684,2183
Austria,30.76277241872097,90.10134529147982,3022
Bosnia and Herzegovina,12.5,86.5,2
Brazil,23.76595744680851,84.67307692307692,49
Bulgaria,14.645390070921986,87.93617021276596,132
Canada,35.71259842519685,89.36964980544747,226
Chile,20.786458333333332,86.4935152057245,4178
China,18.0,89.0,1
Croatia,25.450704225352112,87.21917808219177,70
Cyprus,16.272727272727273,87.18181818181819,10
Czech Republic,24.25,87.25,11
Egypt,,84.0,1
England,51.68115942028985,91.58108108108108,63
France,41.139120162016205,88.84510931064138,19739
Georgia,19.321428571428573,87.68604651162791,76
Germany,42.25754716981132,89.85173210161663,1990
Greece,22.364425162689805,87.28326180257511,429
Hungary,40.648275862068964,89.1917808219178,129
India,13.333333333333334,90.22222222222223,8
Israel,31.768916155419223,88.47128712871287,466
Italy,39.663769658271256,88.56223132036847,17805
Lebanon,30.685714285714287,87.68571428571428,32
Luxembourg,23.333333333333332,88.66666666666667,5
Macedonia,15.583333333333334,86.83333333333333,11
Mexico,26.785714285714285,85.25714285714285,68
Moldova,16.74576271186441,87.20338983050847,56
Morocco,19.5,88.57142857142857,24
New Zealand,26.93178519593614,88.3030303030303,1276
Peru,18.0625,83.5625,16
Portugal,26.21825641025641,88.25021964505359,5222
Romania,15.241666666666667,86.4,101
Serbia,24.5,87.5,8
Slovakia,16.0,87.0,1
Slovenia,24.8125,88.06896551724138,77
South Africa,24.668986852281517,88.05638829407566,1301
Spain,28.215274608245853,87.28833709556058,6021
Switzerland,85.28571428571429,88.57142857142857,6
Turkey,24.633333333333333,88.08888888888889,80
US,36.5734635584631,88.56372009393806,50229
Ukraine,9.214285714285714,84.07142857142857,14
Uruguay,26.40366972477064,86.75229357798165,98
