County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Albany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,1990-1999,Game with no open season,not listed,S3S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad,1990-1999,Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,1990-1999,Special Concern,not listed,S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,1990-1999,Game with no open season,not listed,SNA,GU,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Scaphiopus holbrookii,Eastern Spadefoot,2006,Special Concern,not listed,S2S3,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,2011,not applicable,not applicable,SNR,GNR,Recently Confirmed
Albany,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area,1986,not applicable,not applicable,S3,GNR,Historically Confirmed
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) pensylvanicus,American Bumble Bee,1987,not listed,not listed,S1,G3G4,Historically Confirmed
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) terricola,Yellowbanded Bumble Bee,2009,not listed,not listed,S1,G5,Recently Confirmed
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) affinis,Rusty-patched Bumble Bee,1991,not listed,not listed,SH,G1,Historically Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite,2000-2005,Protected Bird - Game with open season,not listed,S4,G4G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,2000-2005,Protected Bird - Game with open season,not listed,SNA,GNA,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
