Price,Size,Baths,Bedrooms,Fireplace,Acres,Age
142.21200,1.9820000,1,3,0,2,133
134.86500,1.6760000,1.5,3,1,0.38,14
118.00700,1.6940000,2,3,1,0.96,15
138.29700,1.8000000,1,2,1,0.48,49
129.47000,2.0880000,1,3,1,1.84,29
206.51200,1.4560000,2,3,0,0.98,10
50.709000,0.96000000,1.5,2,0,0.01,12
108.79400,1.4640000,1,2,0,0.11,87
68.353000,1.2160000,1,2,0,0.61,101
123.26600,1.6320000,1.5,3,0,0.23,14
309.80800,2.2700000,2.5,3,1,4.05,9
157.94600,1.8040000,2.5,3,1,0.43,0
80.248000,1.6000000,1.5,3,0,0.36,16
135.70800,1.4600000,2,2,0,0.18,17
173.72300,1.5480000,2,3,1,0.36,0
140.51000,1.5900000,2.5,3,1,0.42,0
122.22100,1.1700000,1.5,4,0,3,26
151.91700,1.5100000,2.5,3,1,0.39,0
235.10500,2.2990000,2.5,4,1,0.8,6
259.99900,2.5770000,2.5,4,1,0.77,1
211.51700,2.3280000,2.5,4,1,0.85,10
102.06800,1.1720000,2.5,3,1,0.85,73
128.44000,1.5540000,1.5,3,0,4.87,103
115.65900,1.2420000,2,3,1,0.72,30
145.58300,1.3760000,2,3,1,0.46,25
116.28900,1.1070000,1,3,1,0.46,43
238.79200,2.2500000,2.5,4,1,2.48,10
221.92500,2.4720000,2,4,0,0.62,183
310.69600,2.8430000,2.5,4,1,0.71,5
139.07900,1.4000000,1.5,3,1,1,35
109.57800,1.3420000,1,2,1,0.57,41
65.325000,0.81300000,1,2,0,0.39,68
89.893000,1.4800000,2.5,2,1,0.29,14
87.588000,1.3920000,1,2,0,0.24,17
132.31100,1.5120000,1.5,3,1,0.25,13
131.41100,1.5120000,1.5,3,1,0.05,13
158.86300,1.6960000,2.5,3,1,0.71,5
130.49000,1.5950000,2,3,1,0.22,6
88.207000,1.4800000,1.5,3,0,0.07,14
178.76700,2.2910000,2.5,4,1,0.1,0
148.24600,1.3910000,2,3,0,0.04,12
205.07300,2.5010000,2.5,4,0,0.07,0
185.32300,1.6620000,2,3,0,0.5,0
71.904000,0.95700000,1,3,0,0.19,45
82.556000,1.4800000,1.5,3,1,0.1,14
199.68400,2.2750000,2.5,4,0,2.17,0
122.22100,1.4400000,1,3,1,2.12,32
81.762000,1.0080000,1,3,0,0.33,41
84.291000,1.4800000,2.5,2,1,0.07,14
206.51200,2.1160000,2.5,3,1,2.17,0
105.36300,1.1000000,1,3,1,0.2,93
45.004000,0.96000000,1,2,0,0.54,11
62.105000,1.2280000,1,2,0,0.31,53
103.50800,1.5600000,1.5,3,1,0.88,16
157.51300,2.1640000,2,3,1,0.69,183
79.893000,2.6340000,2.5,4,0,0.24,83
88.770000,1,1,3,0,0.52,91
115.31200,0.91200000,1,2,0,0.46,14
118.95200,1.5720000,1.5,3,0,1.61,16
103.86100,1.7000000,1,3,1,0.46,25
112.64900,1.3500000,1.5,3,0,0.46,26
127.38500,1.4160000,1.5,3,0,0.37,11
153.12900,1.5600000,2,3,1,1,4
143.80800,1.5720000,1.5,3,0,0.46,7
133.06700,1.3260000,2,4,0,0.46,7
226.74200,1.9890000,2,3,1,1,247
98.652000,1.1580000,1.5,3,0,0.86,14
111.39400,1.2720000,1.5,3,0,0.34,1
101.41800,1.8520000,2,4,1,0.92,37
139.21900,2.3080000,3,2,0,0.45,5
115.24800,1.7000000,2,2,0,0.69,15
99.574000,1.6280000,1.5,2,1,0.32,30
224.81800,2.7380000,2.5,2,1,0.76,12
108.45900,1.2920000,1.5,3,0,0.34,25
107.91900,1.0560000,2,2,0,0.52,7
45.904000,1.3280000,1,4,0,0.19,103
83.617000,1.2720000,1.5,4,0,0.19,115
154.72300,1.9440000,2.5,3,0,2.13,0
101.25800,1.2320000,1,3,1,0.72,43
118.94900,1.1640000,2,3,0,0.52,5
128.71700,1.2150000,1.5,3,0,0.23,41
136.37900,1.4860000,2.5,3,0,0.38,0
124.36700,1.2720000,1.5,3,0,0.34,1
62.938000,1.0640000,1,3,0,0.13,95
172.01600,1.5470000,2,3,0,0.72,11
106.52400,1.1480000,1,3,0,0.35,7
147.41200,1.8210000,2.5,3,0,1,0
111.22100,1.0560000,1,3,0,0.81,27
75.862000,0.99500000,1,3,0,0.38,47
109.57800,1.1760000,2,3,0,0.64,5
119.16600,0.91200000,1,2,0,0.11,68
185.31800,1.5000000,1.5,4,1,0.58,208
104.74900,1.8520000,1,4,0,0.1,147
44.674000,1.2140000,1,3,0,0.14,103
80.540000,1.3800000,1.5,2,0,0.13,0
93.773000,1.3240000,1.5,3,0,0.19,5
109.99900,1.2180000,1.5,3,1,1.43,0
16.858000,1.6290000,1,3,0,0.76,180
114.32600,1.0530000,1,3,1,1,41
106.52400,1.3080000,1,2,0,1.35,17
160.99500,1.3440000,1.5,2,1,4,15
139.07900,1.6080000,1,3,1,0.44,63
59.003000,3.2850000,2,5,0,0.42,233
147.42500,1.5820000,1.5,3,0,0.35,11
144.69500,1.6420000,2,3,1,0.4,11
130.22900,1.2480000,2,3,0,0.35,11
119.84000,1.4110000,1,3,1,0.38,48
129.72300,1.5930000,1,3,1,1.8,63
133.59500,1.6660000,2.5,3,1,0.2,1
126.31100,1.4710000,2.5,3,0,0.08,4
167.69300,1.8760000,2.5,3,1,0.34,1
103.95800,1.4860000,1.5,3,0,0.1,16
155.48800,1.7470000,2.5,3,0,0.36,1
152.11200,1.5120000,2.5,3,1,0.36,18
228.61900,2.5270000,2.5,4,1,0.46,1
139.43500,1.6660000,2.5,3,0,0.19,0
161.92300,1.4560000,2,3,1,0.75,1
261.01100,3.0150000,2.5,4,1,0.46,1
120.11500,0.96700000,2,4,0,1.2,55
153.01300,1.7200000,2,4,1,0.72,31
298.92300,3.5150000,2.5,4,1,0.51,0
271.79100,2.8150000,2.5,4,1,0.48,1
126.49800,0.72000000,1,3,0,1,113
267.73100,3.0010000,2.5,5,1,0.66,0
181.97900,1.8220000,2.5,3,1,0.47,4
145.66300,1.6660000,2.5,3,1,0.2,1
128.27300,1.3430000,2.5,2,1,0.12,15
106.52400,1.1440000,1,2,1,0.18,16
101.99700,1.2140000,1.5,2,0,0.2,17
110.96300,1.8880000,1,3,1,0.47,18
147.62500,1.6680000,2,2,0,0.19,16
466.04400,3.8530000,2.5,4,1,0.54,5
116.32100,1.4860000,1.5,3,0,0.1,16
194.88000,2.2780000,2.5,4,1,0.45,0
143.29400,1.3600000,1,4,0,0.92,53
387.65200,3.5040000,2.5,5,1,0.9,0
240.89000,1.9210000,2,3,1,0.46,0
260.46000,3.7260000,2.5,4,1,2.31,3
90.354000,0.91200000,1.5,2,0,0.16,16
192.69400,2.0790000,2.5,3,0,0.44,11
102.80100,1.1840000,2,3,0,0.16,18
79.567000,0.90800000,1,2,0,0.16,19
101.70800,1.4920000,2.5,3,0,0.17,16
162.91300,2.0110000,2.5,4,1,0.99,12
75.606000,0.91200000,1.5,2,0,0.15,19
175.87400,2.1950000,2,3,1,0.45,1
159.31300,1.5610000,1.5,4,0,0.32,17
207.23700,2.6560000,2.5,4,1,0.41,1
205.39700,2.4250000,2.5,4,1,0.42,0
79.116000,0.90800000,1,2,0,0.15,19
161.92300,1.1580000,1.5,3,0,0.57,7
133.15500,1.3340000,1.5,3,0,0.77,7
159.78600,1.5610000,1.5,3,1,0.32,16
102.40500,1.6800000,2,3,0,0.12,15
114.51400,1.5140000,2,3,0,0.16,17
162.00600,1.6560000,1.5,3,1,0.33,17
