Day,meeting,bar
2019-03-26,11,71
2019-03-27,11,72
2019-03-28,10,74
2019-03-29,9,85
2019-03-30,6,97
2019-03-31,7,83
2019-04-01,10,68
2019-04-02,11,70
2019-04-03,12,71
2019-04-04,11,74
2019-04-05,10,85
2019-04-06,6,96
2019-04-07,7,86
2019-04-08,11,70
2019-04-09,11,70
2019-04-10,11,72
2019-04-11,10,74
2019-04-12,9,85
2019-04-13,5,96
2019-04-14,6,82
2019-04-15,9,69
2019-04-16,10,74
2019-04-17,10,75
2019-04-18,10,81
2019-04-19,7,89
2019-04-20,5,92
2019-04-21,5,82
2019-04-22,8,73
2019-04-23,10,69
2019-04-24,10,71
2019-04-25,10,73
2019-04-26,9,81
2019-04-27,6,91
2019-04-28,6,83
2019-04-29,10,69
2019-04-30,10,75
2019-05-01,10,83
2019-05-02,10,75
2019-05-03,9,94
2019-05-04,6,94
2019-05-05,6,85
2019-05-06,9,68
2019-05-07,11,72
2019-05-08,10,72
2019-05-09,11,72
2019-05-10,9,82
2019-05-11,6,93
2019-05-12,6,80
2019-05-13,10,68
2019-05-14,11,71
2019-05-15,10,72
2019-05-16,11,75
2019-05-17,9,82
2019-05-18,5,100
2019-05-19,6,86
2019-05-20,10,69
2019-05-21,11,70
2019-05-22,10,71
2019-05-23,10,72
2019-05-24,9,82
2019-05-25,6,95
2019-05-26,6,83
2019-05-27,7,73
2019-05-28,10,70
2019-05-29,10,73
2019-05-30,10,76
2019-05-31,9,85
2019-06-01,6,94
2019-06-02,6,87
2019-06-03,10,71
2019-06-04,11,73
2019-06-05,10,73
2019-06-06,10,75
2019-06-07,9,86
2019-06-08,6,91
2019-06-09,6,90
2019-06-10,10,75
2019-06-11,11,74
2019-06-12,10,77
2019-06-13,10,78
2019-06-14,10,85
2019-06-15,6,95
2019-06-16,6,85
2019-06-17,10,74
2019-06-18,11,74
2019-06-19,12,78
2019-06-20,11,80
2019-06-21,11,86
2019-06-22,6,97
2019-06-23,7,87
2019-06-24,10,74
